,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,pubmed,borf,3,30,30,0.7729538539553754,0.022252064973037198,1159.1782040596008,74.50752782821655
0,pubmed,borf,15,4,2,0.7935725152129818,0.01703004257699448,1544.334636926651,526.9488663673401
0,pubmed,borf,1,40,10,0.7880375253549695,0.018038906003897365,1463.1806626319885,73.35122895240784
0,pubmed,borf,2,40,10,0.7774163286004057,0.022140028719650293,1345.803447008133,74.2095513343811
0,pubmed,borf,20,4,2,0.7830679513184584,0.020233527757864373,1455.4790151119232,536.3827433586121
0,pubmed,borf,3,40,10,0.8008772819472615,0.013014844378135992,1055.8714530467987,73.89614629745483
0,pubmed,borf,1,40,20,0.7819143002028397,0.020927219187587633,1508.7190477848053,73.85250496864319
0,pubmed,borf,30,4,2,0.7786916835699799,0.0179252780954092,1474.2710208892822,1026.1575117111206
0,pubmed,borf,2,40,20,0.7790897565922922,0.019367744792680587,1280.7674412727356,74.51966595649719
0,pubmed,borf,5,4,3,0.7645258620689656,0.023061834765146543,1497.5052690505981,416.71804785728455
0,pubmed,borf,3,40,20,0.797702839756592,0.013190330741737482,1176.0995445251465,72.26045775413513
0,pubmed,borf,1,40,30,0.7786029411764708,0.019188546756637587,1409.855349779129,76.84216642379761
0,pubmed,borf,10,4,3,0.7678930020283977,0.020327794018418593,1452.3151128292084,972.2855961322784
0,pubmed,borf,2,40,30,0.7829513184584178,0.020341054224689605,1244.2342104911804,77.15072226524353
0,pubmed,borf,15,4,3,0.7847287018255577,0.017705217422426995,1500.2846794128418,487.919606924057
0,pubmed,borf,3,40,30,0.7792799188640973,0.018726588668640763,1290.910483121872,74.52091813087463
0,pubmed,borf,20,4,3,0.7961840770791074,0.016742215487358193,1267.9502239227295,549.9204630851746
0,pubmed,borf,30,4,3,0.7754208924949292,0.022806730294064947,1480.0488739013672,1246.6507172584534

