,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.0,0.020199009876724155,72.22222222222221,0.024595492912420726,68.77333333333334,0.007394219964870457,0.0,0.0,False,0.9124345779418945,707.1377205848694
1,enzymes,sdrf_bfc,GCN,15,4,2,0.1,0.001,23.633333333333333,0.011826335959299574,30.099999999999998,0.00994227785212669,27.304166666666664,0.005813006250355033,0.0,0.0,False,1.4328978061676025,1887.5337476730347
2,imdb,sdrf_bfc,GCN,15,4,2,0.1,0.001,47.91,0.009230796282011646,50.480000000000004,0.010207761752705633,50.33125,0.0022886609076051426,0.0,0.0,False,5.317619323730469,2304.7036180496216
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.0,0.020199009876724155,72.22222222222221,0.024595492912420726,68.77333333333334,0.007394219964870457,0.0,0.0,False,0.9124345779418945,707.1377205848694
1,enzymes,sdrf_bfc,GCN,15,4,2,0.1,0.001,23.633333333333333,0.011826335959299574,30.099999999999998,0.00994227785212669,27.304166666666664,0.005813006250355033,0.0,0.0,False,1.4328978061676025,1887.5337476730347
2,imdb,sdrf_bfc,GCN,15,4,2,0.1,0.001,47.91,0.009230796282011646,50.480000000000004,0.010207761752705633,50.33125,0.0022886609076051426,0.0,0.0,False,5.317619323730469,2304.7036180496216
3,proteins,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.73214285714285,0.009159513288022971,73.33333333333333,0.007762399721995683,70.91797752808989,0.002693829070529465,0.0,0.0,False,2.8451480865478516,2996.616019487381
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,70.45000000000002,0.021311733857197073,74.61111111111111,0.021445020141955776,68.86,0.007965023540454854,0.0,0.0,False,0.9228782653808594,719.0825526714325
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,70.45000000000002,0.021311733857197073,74.61111111111111,0.021445020141955776,68.86,0.007965023540454854,0.0,0.0,False,0.9228782653808594,719.0825526714325
1,enzymes,sdrf_bfc,GCN,20,4,2,0.1,0.001,24.48333333333333,0.011132484997619454,29.733333333333327,0.009726481606647104,26.789583333333333,0.004767910312705137,0.0,0.0,False,1.5580410957336426,1896.6788966655731
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,70.45000000000002,0.021311733857197073,74.61111111111111,0.021445020141955776,68.86,0.007965023540454854,0.0,0.0,False,0.9228782653808594,719.0825526714325
1,enzymes,sdrf_bfc,GCN,20,4,2,0.1,0.001,24.48333333333333,0.011132484997619454,29.733333333333327,0.009726481606647104,26.789583333333333,0.004767910312705137,0.0,0.0,False,1.5580410957336426,1896.6788966655731
2,imdb,sdrf_bfc,GCN,20,4,2,0.1,0.001,48.53,0.009391293840573835,51.59000000000001,0.007975437292086246,50.00874999999999,0.0014582759512520246,0.0,0.0,False,4.8222386837005615,2298.937654018402
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,70.45000000000002,0.021311733857197073,74.61111111111111,0.021445020141955776,68.86,0.007965023540454854,0.0,0.0,False,0.9228782653808594,719.0825526714325
1,enzymes,sdrf_bfc,GCN,20,4,2,0.1,0.001,24.48333333333333,0.011132484997619454,29.733333333333327,0.009726481606647104,26.789583333333333,0.004767910312705137,0.0,0.0,False,1.5580410957336426,1896.6788966655731
2,imdb,sdrf_bfc,GCN,20,4,2,0.1,0.001,48.53,0.009391293840573835,51.59000000000001,0.007975437292086246,50.00874999999999,0.0014582759512520246,0.0,0.0,False,4.8222386837005615,2298.937654018402
3,proteins,sdrf_bfc,GCN,20,4,2,0.1,0.001,70.125,0.009294021009800455,73.07207207207206,0.008021135136571968,70.83258426966293,0.0028639292318632043,0.0,0.0,False,2.9926819801330566,2995.840423822403
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.60000000000001,0.021094074997496333,72.55555555555557,0.023244274484188494,69.60000000000001,0.007334545354386701,0.0,0.0,False,0.8909626007080078,713.3391020298004
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.60000000000001,0.021094074997496333,72.55555555555557,0.023244274484188494,69.60000000000001,0.007334545354386701,0.0,0.0,False,0.8909626007080078,713.3391020298004
1,enzymes,sdrf_bfc,GCN,30,4,2,0.1,0.001,24.46666666666667,0.009578680029686298,30.283333333333335,0.009911329095759279,26.856250000000003,0.0038784012850371446,0.0,0.0,False,1.6836185455322266,1946.3240962028503
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.60000000000001,0.021094074997496333,72.55555555555557,0.023244274484188494,69.60000000000001,0.007334545354386701,0.0,0.0,False,0.8909626007080078,713.3391020298004
1,enzymes,sdrf_bfc,GCN,30,4,2,0.1,0.001,24.46666666666667,0.009578680029686298,30.283333333333335,0.009911329095759279,26.856250000000003,0.0038784012850371446,0.0,0.0,False,1.6836185455322266,1946.3240962028503
2,imdb,sdrf_bfc,GCN,30,4,2,0.1,0.001,48.760000000000005,0.008949279300591754,51.82,0.0094884350659105,49.9525,0.0016728643100981017,0.0,0.0,False,6.254711151123047,2332.1675872802734
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.60000000000001,0.021094074997496333,72.55555555555557,0.023244274484188494,69.60000000000001,0.007334545354386701,0.0,0.0,False,0.8909626007080078,713.3391020298004
1,enzymes,sdrf_bfc,GCN,30,4,2,0.1,0.001,24.46666666666667,0.009578680029686298,30.283333333333335,0.009911329095759279,26.856250000000003,0.0038784012850371446,0.0,0.0,False,1.6836185455322266,1946.3240962028503
